,name,year,fuel_type,automaker,miles_driven,price
444,Hyundai Verna 1.6,2017,Petrol,Hyundai,7456,9523
445,BMW 5 Series,2011,Diesel,BMW,30447,15464
446,Skoda Superb 1.8,2011,Petrol,Skoda,42253,6309
447,Audi Q3 2.0,2013,Diesel,Audi,22991,17845
448,Mahindra Bolero DI,2012,Diesel,Mahindra,36950,2619
449,Maruti Suzuki Zen,2011,Petrol,Maruti,9942,0
450,Mahindra Scorpio S10,2015,Diesel,Mahindra,60397,10714
451,Ford Figo Duratorq,2012,Diesel,Ford,61516,2976
452,Maruti Suzuki Wagon,2018,Petrol,Maruti,15845,4702
453,Mahindra Logan Diesel,2009,Petrol,Mahindra,41010,1547
454,Tata Nano GenX,2010,Petrol,Tata,27343,380
455,Mahindra TUV300 T4,2016,Diesel,Mahindra,21748,6428
456,Mahindra TUV300 T4,2016,Diesel,Mahindra,21748,6428
457,Hyundai Elite i20,2015,Petrol,Hyundai,17398,4821
458,Hyundai Elite i20,2015,Petrol,Hyundai,18641,4761
459,Honda City SV,2017,Petrol,Honda,2485,9047
460,Maruti Suzuki Baleno,2016,Petrol,Maruti,17398,5952
461,Ford Figo Petrol,2011,Petrol,Ford,46603,2083
462,Mahindra Scorpio S10,2015,Diesel,Mahindra,60397,10714
463,Honda City,2017,Petrol,Honda,1864,8928
464,Hyundai Elite i20,2015,Petrol,Hyundai,12427,4988
465,Maruti Suzuki Versa,2004,Petrol,Maruti,31069,1071
466,Hyundai Eon Era,2018,Petrol,Hyundai,1311,1666
467,Mitsubishi Pajero Sport,2015,Petrol,Mitsubishi,26857,18333
468,Hyundai i10 Magna,2008,Petrol,Hyundai,62261,3273
469,Toyota Corolla H2,2003,Petrol,Toyota,62137,1785
470,Maruti Suzuki Swift,2011,Petrol,Maruti,40,2738
471,Tata Indigo CS,2015,Diesel,Tata,62137,1464
472,Mahindra Scorpio S10,2015,Diesel,Mahindra,60397,10714
473,Mahindra Scorpio S10,2015,Diesel,Mahindra,60397,10714
474,Hyundai Xcent Base,2016,Diesel,Hyundai,86992,3571
475,Honda City,2015,Petrol,Honda,34175,5952
476,Hyundai Accent Executive,2009,Petrol,Hyundai,29826,1964
477,Maruti Suzuki Baleno,2016,Petrol,Maruti,13670,5928
478,Tata Zest XE,2018,Diesel,Tata,64345,5714
479,Maruti Suzuki Dzire,2017,Diesel,Maruti,49710,5809
480,Tata Sumo Gold,2014,Diesel,Tata,61516,2976
481,Toyota Corolla Altis,2010,Petrol,Toyota,36040,2619
482,Maruti Suzuki Eeco,2013,LPG,Maruti,43496,3452
483,Toyota Fortuner 3.0,2015,Diesel,Toyota,74565,18154
484,Mahindra XUV500 W6,2013,Diesel,Mahindra,30944,6534
485,Tata Tigor Revotron,2019,Diesel,Tata,62,7738
486,Maruti Suzuki 800,2001,Petrol,Maruti,50875,654
487,Maruti Suzuki Ertiga,2015,Petrol,Maruti,46603,6547
488,Maruti Suzuki Versa,2004,Petrol,Maruti,31069,1071
489,Honda Mobilio S,2014,Diesel,Honda,27340,4750
490,Maruti Suzuki Ertiga,2016,Diesel,Maruti,34175,8690
491,Maruti Suzuki Vitara,2017,Diesel,Maruti,22369,8630
492,Hyundai Verna 1.6,2016,Diesel,Hyundai,34797,2321
493,Maruti Suzuki Swift,2007,Petrol,Maruti,38525,1547
494,Toyota Fortuner 3.0,2015,Diesel,Toyota,74565,18154
495,Maruti Suzuki Omni,2014,Petrol,Maruti,3741,2261
496,Honda Amaze,2013,Diesel,Honda,34610,2976
497,Tata Indica,2005,Petrol,Tata,26098,952
498,Hyundai Santro Xing,2003,Petrol,Hyundai,31069,1428
499,Maruti Suzuki Zen,2010,Petrol,Maruti,21748,1773
500,Maruti Suzuki Wagon,2014,Petrol,Maruti,11495,2976
501,Maruti Suzuki Wagon,2007,Petrol,Maruti,4350,1428
502,Honda Brio VX,2017,Petrol,Honda,6835,5357
503,Hyundai Xcent Base,2015,Diesel,Hyundai,111847,0
504,Maruti Suzuki Zen,2003,Petrol,Maruti,32933,1190
505,Maruti Suzuki Zen,2008,Petrol,Maruti,14292,1607
506,Maruti Suzuki Wagon,2016,Diesel,Maruti,22059,2678
507,Maruti Suzuki Alto,2010,Petrol,Maruti,13753,1178
508,Renault Kwid RXT,2019,Petrol,Renault,621,4404
509,Tata Nano Lx,2010,Petrol,Tata,5592,619
510,Jaguar XE XE,2016,Petrol,Jaguar,5282,33333
511,Hyundai Xcent S,2015,Petrol,Hyundai,21748,0
512,Hyundai Eon Magna,2014,Petrol,Hyundai,21748,2261
513,Honda City 1.5,2014,Petrol,Honda,13670,5940
514,Hindustan Motors Ambassador,2002,Diesel,Hindustan,15534,1071
515,Maruti Suzuki Ritz,2010,Petrol,Maruti,24855,1773
516,Hyundai Grand i10,2017,Petrol,Hyundai,12427,4761
517,Hyundai Eon D,2016,Petrol,Hyundai,54059,1428
518,Maruti Suzuki Swift,2015,Petrol,Maruti,34175,2976
519,Maruti Suzuki Wagon,2017,Petrol,Maruti,14292,4464
520,Honda Amaze 1.2,2014,Petrol,Honda,3728,4535
521,Maruti Suzuki Estilo,2013,Petrol,Maruti,40389,2142
522,Maruti Suzuki Vitara,2016,Diesel,Maruti,15534,6904
523,Maruti Suzuki Eeco,2015,Petrol,Maruti,24233,3309
524,Toyota Innova 2.0,2009,Diesel,Toyota,9677,0
525,Hyundai Creta 1.6,2016,Petrol,Hyundai,4971,11904
526,Mahindra Scorpio Vlx,2013,Diesel,Mahindra,46603,8214
527,Maruti Suzuki Ertiga,2012,Diesel,Maruti,31690,5714
528,Mitsubishi Lancer 1.8,2006,Petrol,Mitsubishi,31069,1011
529,Maruti Suzuki Maruti,2001,Petrol,Maruti,46603,476
530,Maruti Suzuki Alto,2015,Petrol,Maruti,34673,1071
531,Hyundai Grand i10,2015,Petrol,Hyundai,32933,4047
532,Hyundai Eon D,2018,Petrol,Hyundai,15534,3095
533,Ford Fiesta SXi,2009,Petrol,Ford,35045,2976
534,Maruti Suzuki Ritz,2010,Diesel,Maruti,44838,2142
535,Hyundai Verna Fluidic,2012,Diesel,Hyundai,6214,4166
536,Maruti Suzuki Wagon,2006,Petrol,Maruti,29826,1071
537,Maruti Suzuki Estilo,2007,Petrol,Maruti,22369,1369
538,Audi A6 2.0,2012,Diesel,Audi,7146,19035
539,Maruti Suzuki Wagon,2003,Petrol,Maruti,82642,1547
540,Maruti Suzuki Wagon,2009,Petrol,Maruti,16777,1892
541,Maruti Suzuki Wagon,2009,Petrol,Maruti,21748,1904
542,Maruti Suzuki Alto,2010,Petrol,Maruti,34175,1309
543,Maruti Suzuki Baleno,2016,Petrol,Maruti,24855,5059
544,Hyundai Verna 1.6,2019,Petrol,Hyundai,1243,10714
545,Maruti Suzuki Swift,2009,Petrol,Maruti,27962,1785
546,Hyundai Getz Prime,2009,Petrol,Hyundai,12427,1309
547,Hyundai Santro,2000,Petrol,Hyundai,54681,619
548,Hyundai Getz Prime,2009,Petrol,Hyundai,12427,1369
549,Chevrolet Beat PS,2012,Diesel,Chevrolet,40651,2559
550,Ford EcoSport Trend,2017,Petrol,Ford,6214,6904
551,Maruti Suzuki Dzire,2013,Petrol,Maruti,21748,4523
552,Hyundai Fluidic Verna,2013,Diesel,Hyundai,72700,4166
553,Tata Indica V2,2005,Diesel,Tata,93206,416
554,BMW X1 xDrive20d,2011,Diesel,BMW,44739,13690
555,Hyundai i20 Asta,2010,Petrol,Hyundai,6680,3571
556,Honda City 1.5,2009,Petrol,Honda,34175,3202
557,Tata Nano,2013,Petrol,Tata,4225,714
558,Chevrolet Cruze LTZ,2014,Diesel,Chevrolet,25476,4761
559,Hyundai Verna Fluidic,2015,Diesel,Hyundai,45360,5119
561,Maruti Suzuki Swift,2011,Diesel,Maruti,40389,1666
562,Mahindra XUV500 W6,2014,Diesel,Mahindra,27962,101190
563,Mahindra XUV500 W10,2018,Diesel,Mahindra,24855,15464
564,Maruti Suzuki Alto,2014,Petrol,Maruti,22991,2369
565,Hyundai Accent GLE,2006,Petrol,Hyundai,34175,1071
566,Force Motors One,2013,Diesel,Force,86992,6547
567,Datsun Go Plus,2016,Petrol,Datsun,3,0
568,Maruti Suzuki Alto,2019,Petrol,Maruti,6089,3154
569,Chevrolet Spark 1.0,2011,Petrol,Chevrolet,16777,1190
570,Hyundai i10,2009,Petrol,Hyundai,16777,2559
571,Toyota Etios Liva,2012,Diesel,Toyota,12427,4523
572,Renault Duster 85PS,2013,Diesel,Renault,35992,4784
573,Chevrolet Enjoy,2014,Diesel,Chevrolet,18766,5833
574,Maruti Suzuki Alto,2017,Petrol,Maruti,3853,3333
575,BMW 5 Series,2009,Petrol,BMW,23313,7738
576,Toyota Etios Liva,2014,Petrol,Toyota,15318,1904
577,Mahindra Jeep MM,2004,Diesel,Mahindra,238,5047
578,Chevrolet Beat LS,2016,Diesel,Chevrolet,59030,2678
579,Chevrolet Cruze LTZ,2011,Diesel,Chevrolet,21748,4166
580,Jeep Wrangler Unlimited,2015,Diesel,Jeep,2192,11309
581,Maruti Suzuki Ertiga,2013,Diesel,Maruti,32622,5773
582,Hyundai Verna VGT,2010,Diesel,Hyundai,29764,2440
583,Maruti Suzuki Omni,2012,Petrol,Maruti,8699,1904
584,Maruti Suzuki Celerio,2018,Petrol,Maruti,22991,3690
585,Tata Zest Quadrajet,2017,Diesel,Tata,55923,2142
586,Mahindra XUV500 W6,2013,Diesel,Mahindra,32808,6546
587,Tata Indigo CS,2016,Diesel,Tata,64623,1785
588,Hyundai i10 Era,2011,Petrol,Hyundai,18641,2083
589,Tata Indigo eCS,2014,Diesel,Tata,121167,1130
590,Tata Indigo LX,2016,Diesel,Tata,64623,2738
591,Tata Indigo eCS,2016,Diesel,Tata,64623,2738
592,Tata Indigo Marina,2004,Diesel,Tata,43496,2142
594,Hyundai Xcent SX,2015,Diesel,Hyundai,26719,4761
595,Hyundai Eon Magna,2013,Petrol,Hyundai,14292,2202
596,Renault Duster 85,2015,Diesel,Renault,31690,4583
597,Maruti Suzuki Alto,2009,Petrol,Maruti,38525,1071
598,Tata Nano LX,2010,Petrol,Tata,29831,380
600,Renault Duster 110,2013,Diesel,Renault,24233,5178
601,Maruti Suzuki Wagon,2010,Petrol,Maruti,24855,2678
602,Maruti Suzuki Swift,2006,Petrol,Maruti,29979,2258
603,Maruti Suzuki Ertiga,2012,Diesel,Maruti,24233,4639
604,Maruti Suzuki Swift,2014,Petrol,Maruti,14292,4345
605,Maruti Suzuki Alto,2017,Petrol,Maruti,5841,4285
606,Hyundai i20 Magna,2010,Petrol,Hyundai,31069,2500
607,Hyundai i10 Magna,2009,Petrol,Hyundai,46603,2023
609,Tata Zest XE,2017,Diesel,Tata,43496,4523
610,Mahindra Xylo E8,2009,Diesel,Mahindra,39768,3511
611,Toyota Corolla Altis,2010,Petrol,Toyota,34175,2202
612,Tata Manza Aqua,2014,Diesel,Tata,124274,1904
613,Mahindra KUV100 K8,2018,Diesel,Mahindra,4660,0
615,Renault Kwid 1.0,2018,Petrol,Renault,1328,3452
617,Tata Venture EX,2013,Diesel,Tata,18641,1190
618,Maruti Suzuki Swift,2014,Petrol,Maruti,27340,3750
619,Maruti Suzuki Alto,2002,Petrol,Maruti,34797,0
620,Skoda Octavia Classic,2006,Diesel,Skoda,40389,1368
621,Maruti Suzuki Omni,2012,LPG,Maruti,99419,1428
622,Chevrolet Beat Diesel,2011,Diesel,Chevrolet,34797,1488
623,Tata Sumo Gold,2012,Diesel,Tata,46603,2500
625,Hyundai Verna 1.6,2018,Diesel,Hyundai,26098,10178
626,Tata Sumo Gold,2012,Diesel,Tata,46603,2500
627,Mahindra Scorpio 2.6,2007,Diesel,Mahindra,34797,3095
628,Maruti Suzuki Zen,2002,Petrol,Maruti,6552,1130
629,Maruti Suzuki Swift,2011,Petrol,Maruti,39768,3035
630,Mahindra Scorpio SLX,2008,Diesel,Mahindra,43496,3571
631,Hyundai Grand i10,2014,Petrol,Hyundai,15534,4047
632,Hyundai Elite i20,2017,Petrol,Hyundai,9321,6547
633,Ford Ikon 1.6,2003,Petrol,Ford,31069,714
634,Hyundai Elite i20,2015,Petrol,Hyundai,30758,0
636,Toyota Innova 2.5,2011,Diesel,Toyota,91342,8928
637,Nissan Sunny XL,2011,Petrol,Nissan,32311,2738
638,Chevrolet Beat LT,2012,Diesel,Chevrolet,55924,1547
639,Maruti Suzuki Alto,2017,Petrol,Maruti,13049,3214
640,Maruti Suzuki Swift,2012,Diesel,Maruti,29830,3333
641,Maruti Suzuki Swift,2012,Diesel,Maruti,29830,3333
642,Maruti Suzuki Swift,2012,Diesel,Maruti,29830,3333
644,Toyota Innova 2.0,2012,Diesel,Toyota,49710,7142
646,Maruti Suzuki Swift,2010,Diesel,Maruti,45981,2261
647,Hyundai Elite i20,2015,Petrol,Hyundai,13670,5952
648,Mahindra XUV500 W10,2016,Diesel,Mahindra,25476,12678
649,Volkswagen Polo Trendline,2015,Diesel,Volkswagen,15534,4166
650,Toyota Etios Liva,2012,Diesel,Toyota,52817,4166
651,Mahindra TUV300 T4,2016,Diesel,Mahindra,18330,6428
652,Hyundai Elite i20,2015,Petrol,Hyundai,18641,5595
653,Hyundai Santro Xing,2014,Petrol,Hyundai,35418,2130
654,Maruti Suzuki Zen,2003,Petrol,Maruti,37282,571
655,Maruti Suzuki Ciaz,2016,Petrol,Maruti,31069,7738
656,Hyundai Eon Era,2013,Petrol,Hyundai,24668,2261
657,Hyundai Elantra 1.8,2012,Petrol,Hyundai,40389,5952
658,Maruti Suzuki Swift,2010,Diesel,Maruti,41632,3214
659,Maruti Suzuki Zen,2008,Petrol,Maruti,28583,1488
660,Hyundai Eon Era,2012,Petrol,Hyundai,23612,2238
661,Hyundai Grand i10,2016,Petrol,Hyundai,16777,4523
662,Hyundai Verna Fluidic,2011,Diesel,Hyundai,26719,4345
663,Ford EcoSport Trend,2014,Petrol,Ford,29204,5535
664,Hyundai i20 Magna,2011,Petrol,Hyundai,26098,2857
665,Chevrolet Beat Diesel,2016,Diesel,Chevrolet,12015,2142
666,Tata Indica eV2,2015,Diesel,Tata,37348,1666
667,Jaguar XF 2.2,2013,Diesel,Jaguar,18020,26071
668,Audi Q5 2.0,2014,Diesel,Audi,21127,28452
669,BMW 3 Series,2011,Diesel,BMW,21748,12797
670,Maruti Suzuki Swift,2015,Petrol,Maruti,13670,5654
671,BMW X1 sDrive20d,2012,Diesel,BMW,25476,12202
672,Maruti Suzuki S,2016,Diesel,Maruti,13049,7321
673,Maruti Suzuki Ertiga,2013,Diesel,Maruti,29826,5654
674,Maruti Suzuki Alto,2016,Petrol,Maruti,23612,3214
675,Honda City SV,2014,Diesel,Honda,21127,5654
676,Volkswagen Vento Comfortline,2011,Petrol,Volkswagen,28541,2857
677,Honda City 1.5,2005,Petrol,Honda,42253,1428
678,Audi A4 2.0,2016,Diesel,Audi,27340,22619
679,Mahindra KUV100,2017,Diesel,Mahindra,21748,4285
680,Tata Zest XE,2018,Diesel,Tata,63730,5357
681,Mahindra XUV500 W8,2015,Diesel,Mahindra,17771,10714
682,Maruti Suzuki Swift,2017,Diesel,Maruti,25973,7738
683,Tata Sumo Gold,2014,Diesel,Tata,72079,3273
684,Maruti Suzuki Swift,2009,Petrol,Maruti,36661,2500
685,Mahindra Scorpio 2.6,2004,Diesel,Mahindra,36040,2083
686,Maruti Suzuki Omni,2009,Petrol,Maruti,27962,1011
687,Mitsubishi Pajero Sport,2015,Diesel,Mitsubishi,26464,17738
688,Renault Duster,2014,Diesel,Renault,4598,9523
689,Volkswagen Jetta Comfortline,2009,Diesel,Volkswagen,33865,5357
690,Maruti Suzuki Ertiga,2012,Diesel,Maruti,124274,11904
691,Audi A4 2.0,2013,Diesel,Audi,16777,17976
692,Volvo S80 Summum,2015,Diesel,Volvo,26098,22023
693,Toyota Corolla Altis,2014,Petrol,Toyota,18020,9404
694,Mitsubishi Pajero Sport,2015,Diesel,Mitsubishi,22991,20535
695,Chevrolet Beat LT,2012,Petrol,Chevrolet,22369,1607
696,BMW X1,2011,Diesel,BMW,21127,11904
697,Datsun Redi GO,2018,Petrol,Datsun,4350,3571
698,Mercedes Benz C,2009,Diesel,Mercedes,47224,14583
699,Mahindra Scorpio SLX,2004,Diesel,Mahindra,37282,2083
700,Volkswagen Vento Comfortline,2011,Diesel,Volkswagen,59030,2380
701,Tata Indigo CS,2017,Diesel,Tata,31069,3214
702,Ford Figo Petrol,2019,Petrol,Ford,0,6250
703,Honda City ZX,2006,Petrol,Honda,31069,2142
704,Maruti Suzuki Wagon,2008,Petrol,Maruti,42253,1666
705,Ford EcoSport Trend,2014,Petrol,Ford,9942,4761
706,Maruti Suzuki Swift,2016,Diesel,Maruti,31690,5940
707,Maruti Suzuki Omni,2009,Petrol,Maruti,34797,1011
708,Maruti Suzuki Zen,2004,Petrol,Maruti,62137,833
709,Renault Duster RxL,2015,Petrol,Renault,22369,6547
710,Maruti Suzuki Swift,2014,Petrol,Maruti,7160,4404
711,Maruti Suzuki Baleno,2018,Petrol,Maruti,621,8214
712,Honda WR V,2009,Petrol,Honda,37282,2976
713,Tata Indigo CS,2016,Diesel,Tata,52817,1309
714,Renault Duster 110,2013,Diesel,Renault,23985,5833
715,Mahindra Scorpio LX,2009,Diesel,Mahindra,59341,3809
716,Maruti Suzuki Zen,2004,Petrol,Maruti,34797,809
717,Maruti Suzuki Wagon,2014,Petrol,Maruti,23275,1547
718,Maruti Suzuki SX4,2016,Diesel,Maruti,53413,11547
719,Audi A3 Cabriolet,2015,Petrol,Audi,7777,36904
720,Hyundai Eon D,2018,Petrol,Hyundai,21748,3333
721,Maruti Suzuki Zen,2009,Petrol,Maruti,0,1488
722,Mahindra Scorpio SLX,2008,Diesel,Mahindra,49710,3392
724,Hyundai Santro AE,2011,Petrol,Hyundai,27962,1964
726,Maruti Suzuki Swift,2009,Diesel,Maruti,31690,2976
727,Mahindra Scorpio S4,2015,Diesel,Mahindra,18641,10297
729,Mahindra Xylo D2,2011,Diesel,Mahindra,29826,4642
730,Hyundai Santro,2003,Petrol,Hyundai,31690,714
731,Chevrolet Beat LT,2015,Diesel,Chevrolet,55923,2559
732,Maruti Suzuki Swift,2015,Diesel,Maruti,26719,5654
733,Mahindra XUV500 W8,2015,Diesel,Mahindra,32933,10702
734,Toyota Fortuner 3.0,2013,Diesel,Toyota,60273,17845
735,Maruti Suzuki Alto,2013,Petrol,Maruti,12427,2857
736,Hyundai Getz GLE,2007,Petrol,Hyundai,34175,1178
737,Maruti Suzuki Swift,2014,Diesel,Maruti,74565,3095
738,Hyundai Creta 1.6,2019,Petrol,Hyundai,0,14285
739,Hyundai Santro Xing,2007,Petrol,Hyundai,28583,1369
740,Hyundai Santro Xing,2009,Petrol,Hyundai,26843,1047
741,Mahindra Xylo D2,2011,Diesel,Mahindra,34797,4642
742,Hyundai Santro Xing,2007,Petrol,Hyundai,26098,1607
743,Tata Indica V2,2009,Diesel,Tata,19014,1071
744,Hyundai i10 Sportz,2011,Petrol,Hyundai,23612,2619
745,Hyundai Grand i10,2017,Petrol,Hyundai,1584,5059
746,Hyundai Santro Xing,2007,Petrol,Hyundai,29204,1607
747,Honda City 1.5,2005,Petrol,Honda,25476,1130
748,Nissan Micra XL,2017,Diesel,Nissan,38836,5119
749,Honda City 1.5,2005,Petrol,Honda,42253,1369
750,Maruti Suzuki Alto,2015,Petrol,Maruti,31069,2559
751,Maruti Suzuki Wagon,2004,Petrol,Maruti,42875,630
752,Maruti Suzuki Ertiga,2012,Diesel,Maruti,29826,5952
753,Tata Indica eV2,2012,Diesel,Tata,34175,1011
754,Maruti Suzuki Omni,2013,Petrol,Maruti,15534,1964
755,Hyundai Eon Era,2014,Petrol,Hyundai,17647,2380
756,Hyundai Eon,2014,Petrol,Hyundai,17398,2380
757,Maruti Suzuki Swift,2015,Diesel,Maruti,26098,5059
759,Hyundai Verna 1.6,2012,Diesel,Hyundai,18020,7142
760,Chevrolet Tavera LS,2005,Diesel,Chevrolet,42555,1547
761,Tata Tiago Revotron,2018,Petrol,Tata,2175,5119
762,Tata Tiago Revotorq,2019,Petrol,Tata,0,6767
763,Tata Nexon,2019,Petrol,Tata,0,0
765,Maruti Suzuki Zen,2006,Petrol,Maruti,19884,845
766,Mahindra KUV100 K8,2018,Diesel,Mahindra,4971,6666
767,Ford EcoSport Titanium,2014,Diesel,Ford,21127,7023
768,Hindustan Motors Ambassador,1995,Petrol,Hindustan,22991,8928
769,Ford Fusion 1.4,2007,Diesel,Ford,53099,1488
770,Hyundai Santro Xing,2007,Petrol,Hyundai,28583,1607
771,Hyundai Santro,2002,Petrol,Hyundai,29204,714
772,Fiat Linea Emotion,2009,Petrol,Fiat,39768,1428
773,Ford Ikon 1.3,2008,Petrol,Ford,28583,1130
774,Maruti Suzuki Omni,2017,Petrol,Maruti,4971,2857
775,Tata Indica V2,2012,Diesel,Tata,39768,1369
776,Mahindra Scorpio S4,2015,Diesel,Mahindra,39146,9464
777,Hyundai Santro Xing,2007,Petrol,Hyundai,40389,654
778,Mahindra Xylo D2,2009,Diesel,Mahindra,38525,3571
779,Hyundai Grand i10,2014,Petrol,Hyundai,25476,3809
780,Maruti Suzuki Alto,2015,Petrol,Maruti,8699,3154
781,Toyota Corolla,2006,Petrol,Toyota,24855,1904
782,Hyundai Eon Magna,2017,Petrol,Hyundai,994,3571
783,Tata Sumo Grande,2010,Diesel,Tata,55923,1547
784,Maruti Suzuki Swift,2011,Diesel,Maruti,36040,2976
785,Volkswagen Polo Highline1.2L,2013,Petrol,Volkswagen,16777,4523
786,Maruti Suzuki Alto,2003,Petrol,Maruti,37282,500
787,Tata Tiago Revotron,2017,Petrol,Tata,19263,4761
788,Maruti Suzuki Swift,2009,Diesel,Maruti,55923,1428
789,Maruti Suzuki Swift,2009,Diesel,Maruti,55923,1428
790,Tata Indigo eCS,2016,Diesel,Tata,93206,1547
791,Chevrolet Beat LS,2014,Diesel,Chevrolet,19263,2250
793,Mahindra Xylo E8,2011,Diesel,Mahindra,26719,4345
794,Hyundai Eon D,2013,Petrol,Hyundai,12427,2023
804,Tata Sumo Gold,2013,Petrol,Tata,62137,2559
813,Tata Nano,2013,Petrol,Tata,4350,714
814,Hyundai Elite i20,2017,Petrol,Hyundai,19263,7142
815,Hyundai i10 Magna,2009,Petrol,Hyundai,20505,4761
816,Hyundai Creta,2016,Diesel,Hyundai,37282,10714
817,Volkswagen Polo,2013,Diesel,Volkswagen,29826,3571
818,Maruti Suzuki Dzire,2014,Petrol,Maruti,20505,4464
819,Tata Bolt XM,2015,Petrol,Tata,9321,7142
820,Maruti Suzuki Alto,2005,Petrol,Maruti,29204,833
821,Maruti Suzuki Alto,2005,Petrol,Maruti,24855,1190
822,Hyundai Venue,2019,Diesel,Hyundai,4350,0
823,Maruti Suzuki Ritz,2010,Diesel,Maruti,23612,1785
824,Maruti Suzuki Alto,2017,Petrol,Maruti,7767,2678
825,Maruti Suzuki Dzire,2009,Petrol,Maruti,26098,2500
826,Renault Lodgy,2016,Diesel,Renault,12427,0
827,Hyundai i20 Asta,2014,Petrol,Hyundai,19263,5059
828,Maruti Suzuki Swift,2008,Diesel,Maruti,37282,1928
829,Tata Indica V2,2005,Diesel,Tata,49710,714
830,Mahindra Scorpio VLX,2014,Diesel,Mahindra,47846,7738
831,Toyota Innova 2.5,2012,Diesel,Toyota,46603,8928
832,Mahindra Xylo E8,2010,Diesel,Mahindra,24855,4464
833,Hyundai i20 Magna,2011,Petrol,Hyundai,29204,2738
834,Maruti Suzuki Omni,2000,Petrol,Maruti,37282,428
835,Mahindra KUV100,2016,Petrol,Mahindra,16466,4523
836,Mahindra KUV100 K8,2019,Petrol,Mahindra,1786,6666
837,Datsun Go Plus,2016,Petrol,Datsun,8637,3392
838,Ford Endeavor 4x4,2019,Diesel,Ford,5592,34523
839,Tata Indica V2,2005,Diesel,Tata,49710,476
840,Hyundai Santro Xing,2006,Petrol,Hyundai,37282,1011
841,Maruti Suzuki Wagon,2016,Petrol,Maruti,12427,4702
842,Maruti Suzuki Swift,2008,Diesel,Maruti,36040,2083
843,Maruti Suzuki Alto,2019,Petrol,Maruti,932,4761
844,Toyota Innova 2.5,2011,Diesel,Toyota,46603,8928
846,Maruti Suzuki Alto,2016,Petrol,Maruti,1522,2976
847,Maruti Suzuki Alto,2019,Petrol,Maruti,1010,5059
848,Maruti Suzuki Alto,2019,Petrol,Maruti,932,0
849,Volkswagen Polo Highline1.2L,2017,Petrol,Volkswagen,27962,6250
850,Mahindra Logan,2009,Diesel,Mahindra,40389,1547
851,Maruti Suzuki 800,2000,Petrol,Maruti,20754,357
852,Mahindra Scorpio,2011,Diesel,Mahindra,37359,5654
853,Chevrolet Sail 1.2,2013,Petrol,Chevrolet,17398,3571
854,Volkswagen Vento Highline,2015,Diesel,Volkswagen,24171,0
855,Hyundai Santro AE,2003,Petrol,Hyundai,43496,714
856,Maruti Suzuki Wagon,2006,Petrol,Maruti,4350,1190
857,Hyundai Eon,2018,Petrol,Hyundai,15534,3095
858,Tata Manza,2015,Diesel,Tata,62137,1190
859,Toyota Innova 2.0,2019,Petrol,Toyota,2485,0
860,Toyota Etios G,2013,Petrol,Toyota,26098,3154
861,Hyundai Getz Prime,2009,Petrol,Hyundai,12427,1369
862,Toyota Qualis,2003,Diesel,Toyota,62137,2142
863,Hyundai Santro Xing,2004,Petrol,Hyundai,85435,535
864,Tata Indica eV2,2016,Diesel,Tata,56669,601
865,Honda City 1.5,2009,Petrol,Honda,34175,3214
866,Tata Zest XE,2017,Diesel,Tata,74565,3452
867,Mahindra Quanto C4,2013,Diesel,Mahindra,39146,3869
868,Tata Indigo eCS,2016,Diesel,Tata,64623,1904
869,Maruti Suzuki Swift,2016,Diesel,Maruti,90720,4166
870,Hyundai Elite i20,2011,Petrol,Hyundai,24855,3452
871,Hyundai i20 Select,2011,Petrol,Hyundai,24855,3452
872,Chevrolet Tavera Neo,2007,Diesel,Chevrolet,62634,5535
873,Maruti Suzuki Dzire,2016,Diesel,Maruti,93206,3869
874,Hyundai Elite i20,2018,Petrol,Hyundai,1305,6071
875,Honda City VX,2016,Petrol,Honda,59030,10238
876,Maruti Suzuki Dzire,2016,Diesel,Maruti,1553,5357
877,Hyundai Getz,2006,Petrol,Hyundai,49710,1488
878,Mercedes Benz C,2006,Petrol,Mercedes,9321,5952
879,Maruti Suzuki Alto,2005,Petrol,Maruti,40389,1130
880,Maruti Suzuki Swift,2009,Diesel,Maruti,31690,2976
881,Skoda Fabia,2009,Petrol,Skoda,27962,1309
882,Maruti Suzuki Alto,2015,Petrol,Maruti,43496,0
883,Maruti Suzuki Ritz,2011,Petrol,Maruti,31069,3214
885,Tata Indica V2,2009,Diesel,Tata,18641,1309
886,Toyota Corolla Altis,2009,Petrol,Toyota,82021,3571
888,Tata Zest XM,2018,Diesel,Tata,16777,3095
889,Mahindra Quanto C8,2013,Diesel,Mahindra,24855,4642
890,Honda Amaze 1.2,2014,,Honda,0,2142
891,Chevrolet Sail 1.2,2014,,Chevrolet,0,1904
